Bill ID,Customer ID,Bill Date,Bill Amount,Previous Bill Amt,Payment Receivied,Bill Meter,Previous Meter,Usage,BTU Factor,Therms,Price Per Therm,Consumption Charge,Service Charge,Pass Through Charges,Taxes
99,9,2019-04-15,112.63,72.08,2019-04-16,24897,24772,125,1.032,129,0.582,75,5.03,27.75,4.85
100,9,2019-05-15,60.07,112.63,2019-05-21,24964,24897,67,1.032,69,0.582,40,2.68,14.8,2.59
101,9,2019-06-15,91.6,60.07,2019-06-26,25066,24964,102,1.032,105,0.582,61,4.09,22.57,3.94
102,9,2019-07-15,121.64,91.6,2019-07-30,25201,25066,135,1.032,139,0.582,81,5.43,29.97,5.24
103,9,2019-08-15,151.67,121.64,2019-08-22,25369,25201,168,1.032,173,0.582,101,6.77,37.37,6.53
104,9,2019-09-15,18.02,151.67,2019-09-30,25389,25369,20,1.032,21,0.582,12,0.8,4.44,0.78
105,9,2019-10-15,157.68,18.02,2019-10-20,25563,25389,174,1.032,180,0.582,105,7.04,38.85,6.79
106,9,2019-11-15,36.04,157.68,2019-11-30,25603,25563,40,1.032,41,0.582,24,1.61,8.88,1.55
107,9,2019-12-15,162.18,36.04,2019-12-29,25783,25603,180,1.032,186,0.582,108,7.24,39.96,6.98
108,9,2020-01-15,45.05,162.18,2020-01-27,25832,25783,49,1.032,51,0.582,30,2.01,11.1,1.94
109,10,2019-02-15,876.97,964.67,2019-02-28,456748,455775,973,1.032,1004,0.582,584,39.13,216.08,37.76
110,10,2019-03-15,36.04,876.97,2019-04-04,456789,456748,41,1.032,42,0.582,24,1.61,8.88,1.55
111,10,2019-04-15,141.16,36.04,2019-05-03,456946,456789,157,1.032,162,0.582,94,6.3,34.78,6.08
112,10,2019-05-15,73.58,141.16,2019-05-28,457027,456946,81,1.032,84,0.582,49,3.28,18.13,3.17
113,10,2019-06-15,78.08,73.58,2019-06-16,457114,457027,87,1.032,90,0.582,52,3.48,19.24,3.36
114,10,2019-07-15,162.18,78.08,2019-07-31,457294,457114,180,1.032,186,0.582,108,7.24,39.96,6.98
115,10,2019-08-15,108.12,162.18,2019-09-04,457413,457294,119,1.032,123,0.582,72,4.82,26.64,4.66
116,10,2019-09-15,115.63,108.12,2019-09-28,457542,457413,129,1.032,133,0.582,77,5.16,28.49,4.98
117,10,2019-10-15,172.69,115.63,2019-10-19,457733,457542,191,1.032,197,0.582,115,7.7,42.55,7.44
118,10,2019-11-15,970.07,172.69,2019-12-03,458809,457733,1076,1.032,1110,0.582,646,43.28,239.02,41.77
119,10,2019-12-15,890.49,970.07,2019-12-15,459796,458809,987,1.032,1019,0.582,593,39.73,219.41,38.35
120,10,2020-01-15,973.08,890.49,2020-01-24,460875,459796,1079,1.032,1114,0.582,648,43.42,239.76,41.9
121,11,2019-02-15,364.9,401.39,2019-03-04,219524,219120,404,1.032,417,0.582,243,16.28,89.91,15.71
122,11,2019-03-15,93.1,364.9,2019-03-25,219627,219524,103,1.032,106,0.582,62,4.15,22.94,4.01
123,11,2019-04-15,48.05,93.1,2019-04-28,219680,219627,53,1.032,55,0.582,32,2.14,11.84,2.07
124,11,2019-05-15,88.6,48.05,2019-05-22,219778,219680,98,1.032,101,0.582,59,3.95,21.83,3.82
125,11,2019-06-15,91.6,88.6,2019-06-22,219879,219778,101,1.032,104,0.582,61,4.09,22.57,3.94
126,11,2019-07-15,21.03,91.6,2019-07-30,219902,219879,23,1.032,24,0.582,14,0.94,5.18,0.91
127,11,2019-08-15,7.51,21.03,2019-08-19,219911,219902,9,1.032,9,0.582,5,0.34,1.85,0.32
128,11,2019-09-15,24.02,7.51,2019-09-18,219938,219911,27,1.032,28,0.582,16,1.07,5.92,1.03
129,11,2019-10-15,121.64,24.02,2019-10-30,220073,219938,135,1.032,139,0.582,81,5.43,29.97,5.24
130,11,2019-11-15,448.99,121.64,2019-11-24,220570,220073,497,1.032,513,0.582,299,20.03,110.63,19.33
131,11,2019-12-15,477.53,448.99,2019-12-16,221099,220570,529,1.032,546,0.582,318,21.31,117.66,20.56
132,11,2020-01-15,400.95,477.53,2020-01-20,221544,221099,445,1.032,459,0.582,267,17.89,98.79,17.27
133,12,2019-02-15,782.37,860.61,2019-02-17,397421,396553,868,1.032,896,0.582,521,34.91,192.77,33.69
134,12,2019-03-15,67.58,782.37,2019-03-28,397496,397421,75,1.032,77,0.582,45,3.02,16.65,2.91
135,12,2019-04-15,90.1,67.58,2019-04-20,397596,397496,100,1.032,103,0.582,60,4.02,22.2,3.88
136,12,2019-05-15,118.63,90.1,2019-05-26,397728,397596,132,1.032,136,0.582,79,5.29,29.23,5.11
137,12,2019-06-15,130.65,118.63,2019-06-25,397873,397728,145,1.032,150,0.582,87,5.83,32.19,5.63
138,12,2019-07-15,120.13,130.65,2019-07-20,398007,397873,134,1.032,138,0.582,80,5.36,29.6,5.17
139,12,2019-08-15,169.69,120.13,2019-08-21,398196,398007,189,1.032,195,0.582,113,7.57,41.81,7.31
140,12,2019-09-15,177.2,169.69,2019-09-30,398393,398196,197,1.032,203,0.582,118,7.91,43.66,7.63
141,12,2019-10-15,94.6,177.2,2019-10-21,398499,398393,106,1.032,109,0.582,63,4.22,23.31,4.07
142,12,2019-11-15,831.92,94.6,2019-11-30,399421,398499,922,1.032,952,0.582,554,37.12,204.98,35.82
143,12,2019-12-15,779.36,831.92,2019-12-29,400285,399421,864,1.032,892,0.582,519,34.77,192.03,33.56
144,12,2020-01-15,725.3,779.36,2020-01-26,401089,400285,804,1.032,830,0.582,483,32.36,178.71,31.23
145,13,2019-02-15,494.04,543.44,2019-03-05,311261,310714,547,1.032,565,0.582,329,22.04,121.73,21.27
146,13,2019-03-15,118.63,494.04,2019-03-19,311393,311261,132,1.032,136,0.582,79,5.29,29.23,5.11
147,13,2019-04-15,1.5,118.63,2019-04-22,311395,311393,2,1.032,2,0.582,1,0.07,0.37,0.06
148,13,2019-05-15,46.55,1.5,2019-05-31,311446,311395,51,1.032,53,0.582,31,2.08,11.47,2
149,13,2019-06-15,178.69,46.55,2019-07-02,311644,311446,198,1.032,204,0.582,119,7.97,44.03,7.69
150,13,2019-07-15,135.15,178.69,2019-07-31,311793,311644,149,1.032,154,0.582,90,6.03,33.3,5.82
151,13,2019-08-15,12.02,135.15,2019-08-21,311806,311793,13,1.032,13,0.582,8,0.54,2.96,0.52
152,13,2019-09-15,67.58,12.02,2019-09-24,311882,311806,76,1.032,78,0.582,45,3.02,16.65,2.91
153,13,2019-10-15,114.12,67.58,2019-10-31,312009,311882,127,1.032,131,0.582,76,5.09,28.12,4.91
154,13,2019-11-15,590.15,114.12,2019-12-02,312664,312009,655,1.032,676,0.582,393,26.33,145.41,25.41
155,13,2019-12-15,423.47,590.15,2019-12-29,313133,312664,469,1.032,484,0.582,282,18.89,104.34,18.24
156,13,2020-01-15,539.09,423.47,2020-01-22,313731,313133,598,1.032,617,0.582,359,24.05,132.83,23.21
157,14,2019-02-15,342.38,376.62,2019-02-16,2808,2429,379,1.032,391,0.582,228,15.28,84.36,14.74
158,14,2019-03-15,61.57,342.38,2019-03-27,2876,2808,68,1.032,70,0.582,41,2.75,15.17,2.65
159,14,2019-04-15,145.66,61.57,2019-05-01,3037,2876,161,1.032,166,0.582,97,6.5,35.89,6.27
160,14,2019-05-15,162.18,145.66,2019-05-17,3216,3037,179,1.032,185,0.582,108,7.24,39.96,6.98
161,14,2019-06-15,72.08,162.18,2019-06-23,3296,3216,80,1.032,83,0.582,48,3.22,17.76,3.1
162,14,2019-07-15,136.65,72.08,2019-07-21,3448,3296,152,1.032,157,0.582,91,6.1,33.67,5.88
163,14,2019-08-15,162.18,136.65,2019-09-02,3628,3448,180,1.032,186,0.582,108,7.24,39.96,6.98
164,14,2019-09-15,130.65,162.18,2019-09-16,3773,3628,145,1.032,150,0.582,87,5.83,32.19,5.63
165,14,2019-10-15,97.61,130.65,2019-10-19,3882,3773,109,1.032,112,0.582,65,4.36,24.05,4.2
166,14,2019-11-15,491.05,97.61,2019-11-27,4426,3882,544,1.032,561,0.582,327,21.91,120.99,21.15
167,14,2019-12-15,339.37,491.05,2019-12-17,4803,4426,377,1.032,389,0.582,226,15.14,83.62,14.61
168,14,2020-01-15,325.86,339.37,2020-01-19,5164,4803,361,1.032,373,0.582,217,14.54,80.29,14.03
169,15,2019-02-15,246.28,270.91,2019-03-02,181628,181356,272,1.032,281,0.582,164,10.99,60.68,10.61
170,15,2019-03-15,43.55,246.28,2019-03-29,181675,181628,47,1.032,49,0.582,29,1.94,10.73,1.88
171,15,2019-04-15,25.53,43.55,2019-05-05,181703,181675,28,1.032,29,0.582,17,1.14,6.29,1.1
172,15,2019-05-15,142.65,25.53,2019-05-23,181862,181703,159,1.032,164,0.582,95,6.36,35.15,6.14
173,15,2019-06-15,7.51,142.65,2019-06-26,181870,181862,8,1.032,8,0.582,5,0.34,1.85,0.32
174,15,2019-07-15,157.68,7.51,2019-07-20,182044,181870,174,1.032,180,0.582,105,7.04,38.85,6.79
175,15,2019-08-15,51.06,157.68,2019-08-30,182100,182044,56,1.032,58,0.582,34,2.28,12.58,2.2
176,15,2019-09-15,168.18,51.06,2019-09-16,182287,182100,187,1.032,193,0.582,112,7.5,41.44,7.24
177,15,2019-10-15,36.04,168.18,2019-10-16,182328,182287,41,1.032,42,0.582,24,1.61,8.88,1.55
178,15,2019-11-15,279.31,36.04,2019-11-18,182637,182328,309,1.032,319,0.582,186,12.46,68.82,12.03
179,15,2019-12-15,316.85,279.31,2019-12-23,182988,182637,351,1.032,362,0.582,211,14.14,78.07,13.64
180,15,2020-01-15,238.76,316.85,2020-02-01,183253,182988,265,1.032,273,0.582,159,10.65,58.83,10.28
181,16,2019-02-15,148.66,163.53,2019-02-20,23916,23751,165,1.032,170,0.582,99,6.63,36.63,6.4
182,16,2019-03-15,160.68,148.66,2019-03-28,24093,23916,177,1.032,183,0.582,107,7.17,39.59,6.92
183,16,2019-04-15,60.07,160.68,2019-04-30,24160,24093,67,1.032,69,0.582,40,2.68,14.8,2.59
184,16,2019-05-15,94.6,60.07,2019-05-23,24266,24160,106,1.032,109,0.582,63,4.22,23.31,4.07
185,16,2019-06-15,151.67,94.6,2019-06-17,24435,24266,169,1.032,174,0.582,101,6.77,37.37,6.53
186,16,2019-07-15,45.05,151.67,2019-07-30,24485,24435,50,1.032,52,0.582,30,2.01,11.1,1.94
187,16,2019-08-15,130.65,45.05,2019-08-16,24630,24485,145,1.032,150,0.582,87,5.83,32.19,5.63
188,16,2019-09-15,156.18,130.65,2019-10-02,24803,24630,173,1.032,179,0.582,104,6.97,38.48,6.73
189,16,2019-10-15,94.6,156.18,2019-10-26,24909,24803,106,1.032,109,0.582,63,4.22,23.31,4.07
190,16,2019-11-15,115.63,94.6,2019-12-03,25037,24909,128,1.032,132,0.582,77,5.16,28.49,4.98
191,16,2019-12-15,103.61,115.63,2019-12-25,25152,25037,115,1.032,119,0.582,69,4.62,25.53,4.46
192,16,2020-01-15,160.68,103.61,2020-01-20,25330,25152,178,1.032,184,0.582,107,7.17,39.59,6.92
193,17,2019-02-15,391.94,431.13,2019-03-03,11234,10800,434,1.032,448,0.582,261,17.49,96.57,16.88
194,17,2019-03-15,79.59,391.94,2019-04-02,11322,11234,88,1.032,91,0.582,53,3.55,19.61,3.43
195,17,2019-04-15,177.2,79.59,2019-04-17,11518,11322,196,1.032,202,0.582,118,7.91,43.66,7.63
196,17,2019-05-15,114.12,177.2,2019-05-29,11644,11518,126,1.032,130,0.582,76,5.09,28.12,4.91
197,17,2019-06-15,175.7,114.12,2019-06-15,11839,11644,195,1.032,201,0.582,117,7.84,43.29,7.57
198,17,2019-07-15,178.69,175.7,2019-07-29,12037,11839,198,1.032,204,0.582,119,7.97,44.03,7.69
199,17,2019-08-15,139.65,178.69,2019-08-19,12192,12037,155,1.032,160,0.582,93,6.23,34.41,6.01
200,17,2019-09-15,28.53,139.65,2019-09-22,12224,12192,32,1.032,33,0.582,19,1.27,7.03,1.23
201,17,2019-10-15,43.55,28.53,2019-10-27,12272,12224,48,1.032,50,0.582,29,1.94,10.73,1.88
202,17,2019-11-15,378.42,43.55,2019-11-22,12692,12272,420,1.032,433,0.582,252,16.88,93.24,16.3
203,17,2019-12-15,399.44,378.42,2019-12-16,13135,12692,443,1.032,457,0.582,266,17.82,98.42,17.2
204,17,2020-01-15,439.99,399.44,2020-01-26,13623,13135,488,1.032,504,0.582,293,19.63,108.41,18.95
205,18,2019-02-15,513.57,564.93,2019-03-07,249535,248966,569,1.032,587,0.582,342,22.91,126.54,22.12
206,18,2019-03-15,142.65,513.57,2019-03-21,249693,249535,158,1.032,163,0.582,95,6.36,35.15,6.14
207,18,2019-04-15,147.17,142.65,2019-04-22,249856,249693,163,1.032,168,0.582,98,6.57,36.26,6.34
208,18,2019-05-15,124.64,147.17,2019-05-22,249995,249856,139,1.032,143,0.582,83,5.56,30.71,5.37
209,18,2019-06-15,151.67,124.64,2019-06-29,250164,249995,169,1.032,174,0.582,101,6.77,37.37,6.53
210,18,2019-07-15,157.68,151.67,2019-07-22,250338,250164,174,1.032,180,0.582,105,7.04,38.85,6.79
211,18,2019-08-15,118.63,157.68,2019-08-19,250470,250338,132,1.032,136,0.582,79,5.29,29.23,5.11
212,18,2019-09-15,46.55,118.63,2019-09-24,250521,250470,51,1.032,53,0.582,31,2.08,11.47,2
213,18,2019-10-15,150.17,46.55,2019-10-21,250688,250521,167,1.032,172,0.582,100,6.7,37,6.47
214,18,2019-11-15,546.61,150.17,2019-11-29,251295,250688,607,1.032,626,0.582,364,24.39,134.68,23.54
215,18,2019-12-15,657.73,546.61,2019-12-19,252025,251295,730,1.032,753,0.582,438,29.35,162.06,28.32
216,18,2020-01-15,510.57,657.73,2020-01-27,252592,252025,567,1.032,585,0.582,340,22.78,125.8,21.99
217,19,2019-02-15,555.62,611.18,2019-03-01,40270,39655,615,1.032,635,0.582,370,24.79,136.9,23.93
218,19,2019-03-15,45.05,555.62,2019-04-04,40320,40270,50,1.032,52,0.582,30,2.01,11.1,1.94
219,19,2019-04-15,6.01,45.05,2019-04-30,40327,40320,7,1.032,7,0.582,4,0.27,1.48,0.26
220,19,2019-05-15,163.68,6.01,2019-05-31,40509,40327,182,1.032,188,0.582,109,7.3,40.33,7.05
221,19,2019-06-15,135.15,163.68,2019-07-02,40658,40509,149,1.032,154,0.582,90,6.03,33.3,5.82
222,19,2019-07-15,54.06,135.15,2019-08-01,40718,40658,60,1.032,62,0.582,36,2.41,13.32,2.33
223,19,2019-08-15,174.19,54.06,2019-08-17,40911,40718,193,1.032,199,0.582,116,7.77,42.92,7.5
224,19,2019-09-15,78.08,174.19,2019-09-26,40998,40911,87,1.032,90,0.582,52,3.48,19.24,3.36
225,19,2019-10-15,162.18,78.08,2019-10-21,41178,40998,180,1.032,186,0.582,108,7.24,39.96,6.98
226,19,2019-11-15,540.6,162.18,2019-11-25,41777,41178,599,1.032,618,0.582,360,24.12,133.2,23.28
227,19,2019-12-15,578.15,540.6,2020-01-02,42418,41777,641,1.032,662,0.582,385,25.8,142.45,24.9
228,19,2020-01-15,470.02,578.15,2020-02-01,42938,42418,520,1.032,537,0.582,313,20.97,115.81,20.24
229,20,2019-02-15,470.02,517.02,2019-02-25,119052,118531,521,1.032,538,0.582,313,20.97,115.81,20.24
230,20,2019-03-15,90.1,470.02,2019-03-31,119152,119052,100,1.032,103,0.582,60,4.02,22.2,3.88
231,20,2019-04-15,147.17,90.1,2019-05-02,119315,119152,163,1.032,168,0.582,98,6.57,36.26,6.34
232,20,2019-05-15,22.53,147.17,2019-05-22,119340,119315,25,1.032,26,0.582,15,1.01,5.55,0.97
233,20,2019-06-15,111.13,22.53,2019-06-28,119464,119340,124,1.032,128,0.582,74,4.96,27.38,4.79
234,20,2019-07-15,30.03,111.13,2019-07-25,119498,119464,34,1.032,35,0.582,20,1.34,7.4,1.29
235,20,2019-08-15,36.04,30.03,2019-08-19,119539,119498,41,1.032,42,0.582,24,1.61,8.88,1.55
236,20,2019-09-15,3,36.04,2019-09-22,119543,119539,4,1.032,4,0.582,2,0.13,0.74,0.13
237,20,2019-10-15,24.02,3,2019-10-28,119570,119543,27,1.032,28,0.582,16,1.07,5.92,1.03
